round,center,acc,prec0,rec0,auroc,auprc,f1macro
2,420,0.9183673,1.0,0.25,0.9599236641221374,0.8255044207547677,0.678102189781022
2,443,0.919708,nan,0.0,0.917027417027417,0.5740740416433372,0.4790874524714829
2,458,0.875,nan,0.0,0.8102678571428572,0.36291169144496765,0.4666666666666667
2,338,0.928,nan,0.0,0.8946360153256704,0.5336283863147898,0.48132780082987553
2,252,0.8796296,nan,0.0,0.745748987854251,0.41676144174985313,0.46798029556650245
2,122,0.9150943,nan,0.0,0.9919816723940434,0.9353344186677521,0.47783251231527096
2,300,0.9326923,nan,0.0,0.7231222385861561,0.20452116947788684,0.48258706467661694
2,188,0.9019608,nan,0.0,0.8152173913043479,0.5415815133162479,0.4742268041237113
2,73,0.99019605,nan,0.0,0.9900990099009901,0.25,0.4975369458128079
3,264,0.94554454,nan,0.0,0.8676820561637315,0.34982029741399917,0.4860050890585242
3,420,0.95238096,0.90909094,0.625,0.9632633587786259,0.837739187555364,0.8572617561381606
3,443,0.919708,nan,0.0,0.9213564213564214,0.576637134746115,0.4790874524714829
3,458,0.875,nan,0.0,0.8180803571428572,0.37934042082599945,0.4666666666666667
3,338,0.928,nan,0.0,0.900383141762452,0.49464354798824184,0.48132780082987553
3,252,0.8796296,nan,0.0,0.7578947368421053,0.4033460926518964,0.46798029556650245
3,122,0.9150943,nan,0.0,0.9908361970217641,0.9305114638447973,0.47783251231527096
3,300,0.9326923,nan,0.0,0.7304860088365243,0.20420955437672758,0.48258706467661694
3,188,0.9117647,1.0,0.1,0.8304347826086957,0.546177704344599,0.567593028732925
3,73,0.99019605,nan,0.0,0.9900990099009901,0.25,0.4975369458128079
4,264,0.94554454,nan,0.0,0.8667301285102332,0.34936900186426706,0.4860050890585242
4,420,0.9591837,0.9166667,0.6875,0.9637404580152671,0.8333661687681345,0.881578947368421
4,443,0.919708,nan,0.0,0.9227994227994228,0.5693886399380621,0.4790874524714829
4,458,0.875,nan,0.0,0.8292410714285714,0.40927853365553174,0.4666666666666667
4,338,0.928,nan,0.0,0.9022988505747126,0.47744300359762204,0.48132780082987553
4,252,0.8796296,nan,0.0,0.7497975708502025,0.4166164178062553,0.46798029556650245
4,122,0.9150943,nan,0.0,0.9908361970217641,0.9305114638447973,0.47783251231527096
4,300,0.9326923,nan,0.0,0.7393225331369662,0.20590774510100568,0.48258706467661694
4,188,0.9411765,1.0,0.4,0.8413043478260869,0.5519729438323653,0.7699248120300752
4,73,0.99019605,nan,0.0,0.9900990099009901,0.25,0.4975369458128079
5,264,0.94554454,nan,0.0,0.8681580199904807,0.340934032118018,0.4860050890585242
5,420,0.95238096,0.84615386,0.6875,0.9646946564885497,0.8311903924874033,0.8661027976577749
5,443,0.919708,nan,0.0,0.924963924963925,0.5709601053010668,0.4790874524714829
5,458,0.875,0.5,0.125,0.8331473214285715,0.41726637969896657,0.5661016949152542
5,338,0.928,nan,0.0,0.9109195402298851,0.5098657515324181,0.48132780082987553
5,252,0.8796296,nan,0.0,0.7595141700404858,0.42674862215182274,0.46798029556650245
5,122,0.9150943,nan,0.0,0.9908361970217641,0.9305114638447973,0.47783251231527096
5,300,0.9326923,nan,0.0,0.748159057437408,0.37391676888714276,0.48258706467661694
5,188,0.9313725,0.8,0.4,0.8500000000000001,0.5564039739136545,0.7481481481481481
5,73,0.99019605,nan,0.0,0.9900990099009901,0.25,0.4975369458128079
6,264,0.94554454,0.5,0.09090909,0.8700618752974775,0.4131455274132414,0.562856580759394
6,420,0.93877554,0.73333335,0.6875,0.9656488549618321,0.8323032466476601,0.8377284435177236
6,443,0.9270073,1.0,0.09090909,0.9292929292929293,0.5708838448794255,0.5642493638676845
6,458,0.90625,0.7,0.4375,0.8420758928571429,0.43703986656301524,0.7431438127090301
6,338,0.928,nan,0.0,0.9118773946360154,0.5040880415880415,0.48132780082987553
6,252,0.8796296,nan,0.0,0.7643724696356275,0.40974770921842124,0.46798029556650245
6,122,0.9150943,nan,0.0,0.9931271477663229,0.9456739248405914,0.47783251231527096
6,300,0.9326923,nan,0.0,0.7496318114874816,0.37495246523979087,0.48258706467661694
6,188,0.92156863,0.6666667,0.4,0.8619565217391305,0.5612658460876224,0.7287234042553192
6,73,0.99019605,nan,0.0,0.9900990099009901,0.25,0.4975369458128079
7,264,0.9405941,0.33333334,0.09090909,0.8700618752974774,0.40865257839514374,0.5560439560439561
7,420,0.9183673,0.6111111,0.6875,0.9661259541984732,0.8321599344151861,0.8004524886877828
7,443,0.9270073,0.6666667,0.18181819,0.9357864357864358,0.59104448936015,0.6236263736263736
7,458,0.8984375,0.6363636,0.4375,0.8504464285714286,0.44234722936553783,0.7308749797832768
7,338,0.928,nan,0.0,0.9118773946360154,0.4939959163643374,0.48132780082987553
7,252,0.8796296,nan,0.0,0.7676113360323886,0.4164745764711564,0.46798029556650245
7,122,0.9150943,nan,0.0,0.9931271477663229,0.9456739248405914,0.47783251231527096
7,300,0.9326923,nan,0.0,0.7511045655375552,0.37504189753720363,0.48258706467661694
7,188,0.9117647,0.5714286,0.4,0.8684782608695653,0.565176948146749,0.7112299465240641
